aX,aY,aZ,gX,gY,gZ
-0.975,1.198,0.244,-35.583,96.375,-26.306
-1.029,1.321,0.297,-42.603,103.149,-22.461
-1.077,1.444,0.338,-51.636,109.253,-15.259
-1.103,1.524,0.388,-61.707,111.755,-2.136
-1.184,1.513,0.402,-69.641,112.061,17.456
-1.224,1.383,0.418,-74.707,107.483,47.668
-1.279,1.137,0.420,-77.332,99.426,79.102
-1.279,0.830,0.435,-79.346,93.079,105.042
-1.297,0.489,0.458,-79.285,85.876,124.390
-1.294,0.158,0.495,-77.087,79.773,133.789
-1.314,-0.105,0.555,-75.012,74.890,135.681
-1.345,-0.263,0.620,-74.280,69.153,127.808
-1.374,-0.314,0.676,-76.172,59.875,115.234
-1.369,-0.271,0.718,-82.886,48.096,101.074
-1.351,-0.232,0.738,-93.323,35.828,88.379
-1.361,-0.247,0.729,-104.553,23.987,80.566
-1.388,-0.315,0.719,-112.549,14.221,80.627
-1.334,-0.462,0.699,-113.098,4.944,88.562
-1.337,-0.590,0.693,-107.666,-4.333,92.407
-1.254,-0.699,0.686,-99.182,-11.414,93.994
-1.209,-0.799,0.672,-89.722,-18.433,91.919
-1.147,-0.857,0.656,-82.397,-24.109,84.412
-1.083,-0.867,0.623,-77.271,-27.161,73.608
-1.032,-0.833,0.566,-74.524,-28.503,60.608
-0.993,-0.784,0.504,-74.402,-29.541,48.889
-0.958,-0.754,0.441,-75.989,-30.396,41.565
-0.955,-0.775,0.381,-77.393,-31.494,38.635
-0.941,-0.862,0.337,-77.271,-31.311,40.344
-0.914,-0.971,0.291,-73.120,-30.823,43.274
-0.882,-1.049,0.256,-65.002,-31.128,44.922
-0.856,-1.098,0.230,-54.138,-31.311,44.067
-0.838,-1.117,0.202,-41.138,-30.945,39.978
-0.831,-1.084,0.170,-28.320,-30.334,33.752
-0.825,-1.027,0.149,-16.846,-30.151,26.428
-0.808,-0.961,0.131,-8.362,-29.541,19.531
-0.787,-0.898,0.111,-2.258,-28.076,13.794
-0.758,-0.845,0.091,1.160,-26.062,9.094
-0.738,-0.795,0.069,2.136,-23.682,4.578
-0.732,-0.747,0.053,1.892,-20.813,0.732
-0.749,-0.698,0.040,1.343,-17.517,-2.380
-0.777,-0.652,0.032,1.221,-13.367,-4.333
-0.809,-0.602,0.031,2.319,-8.972,-5.432
-0.839,-0.557,0.037,4.639,-5.554,-5.981
-0.866,-0.522,0.061,7.812,-2.991,-5.920
-0.876,-0.482,0.091,11.536,-0.305,-5.310
-0.872,-0.436,0.117,14.893,2.258,-4.333
-0.869,-0.402,0.149,17.151,4.761,-2.991
-0.875,-0.378,0.182,17.944,6.775,-1.099
-0.882,-0.363,0.204,17.212,8.484,0.977
-0.891,-0.357,0.225,15.564,9.949,2.075
-0.897,-0.348,0.244,13.306,11.047,2.197
-0.906,-0.337,0.253,11.902,11.719,2.075
-0.917,-0.320,0.256,10.986,11.780,1.282
-0.924,-0.309,0.257,9.460,11.353,0.244
-0.925,-0.306,0.253,7.263,10.864,-0.732
-0.921,-0.310,0.250,5.188,10.498,-1.465
-0.918,-0.307,0.250,2.991,10.071,-2.197

-1.333,1.252,0.271,-6.470,103.455,-41.382
-1.411,1.357,0.323,-17.090,100.952,-32.837
-1.459,1.387,0.342,-31.006,96.375,-19.043
-1.507,1.315,0.333,-47.180,91.187,-1.526
-1.530,1.137,0.322,-64.209,86.548,19.714
-1.532,0.917,0.323,-78.369,83.374,39.185
-1.533,0.703,0.350,-87.708,82.825,51.880
-1.534,0.528,0.398,-92.957,84.167,57.251
-1.590,0.422,0.453,-94.666,81.421,57.251
-1.583,0.383,0.540,-95.032,79.590,54.077
-1.613,0.374,0.575,-96.558,75.073,52.795
-1.641,0.311,0.590,-100.952,65.430,57.678
-1.636,0.145,0.585,-106.384,53.528,67.688
-1.572,-0.066,0.572,-111.572,41.382,78.796
-1.500,-0.292,0.567,-114.685,30.579,86.365
-1.434,-0.518,0.557,-114.624,20.813,88.684
-1.367,-0.678,0.541,-111.755,9.460,84.595
-1.294,-0.747,0.519,-107.910,-5.005,74.341
-1.232,-0.698,0.471,-105.469,-19.836,60.791
-1.165,-0.620,0.386,-104.370,-34.668,50.903
-1.117,-0.569,0.294,-105.103,-46.692,44.556
-1.031,-0.596,0.188,-106.384,-51.392,46.692
-0.968,-0.690,0.103,-106.018,-51.697,53.650
-0.924,-0.849,0.052,-103.638,-48.950,63.110
-0.876,-1.038,0.021,-100.037,-43.518,71.899
-0.823,-1.261,-0.004,-94.604,-36.987,78.735
-0.762,-1.504,-0.025,-86.487,-31.250,83.069
-0.711,-1.714,-0.043,-75.134,-26.672,82.153
-0.680,-1.872,-0.066,-60.974,-23.071,75.256
-0.676,-1.984,-0.099,-44.067,-22.278,63.904
-0.656,-2.042,-0.145,-26.367,-24.658,52.246
-0.626,-2.077,-0.174,-10.437,-28.687,41.626
-0.586,-2.119,-0.176,2.808,-30.640,32.043
-0.542,-2.161,-0.189,14.282,-29.846,22.827
-0.489,-2.191,-0.206,23.560,-28.015,12.024
-0.433,-2.213,-0.241,29.907,-25.940,-0.977
-0.366,-2.181,-0.275,34.607,-22.888,-15.747
-0.318,-2.080,-0.306,39.429,-18.250,-32.471
-0.285,-1.952,-0.335,44.922,-12.207,-48.279
-0.251,-1.824,-0.355,49.988,-5.554,-60.303
-0.229,-1.702,-0.352,54.443,0.916,-70.374
-0.199,-1.588,-0.342,59.814,7.324,-78.674
-0.166,-1.470,-0.319,66.650,12.329,-84.412
-0.147,-1.342,-0.284,75.317,15.137,-88.867
-0.128,-1.217,-0.250,83.679,18.921,-92.712
-0.107,-1.085,-0.214,91.248,23.926,-96.008
-0.094,-0.952,-0.170,98.328,29.053,-98.938
-0.103,-0.818,-0.134,105.774,33.691,-101.990
-0.135,-0.651,-0.096,111.877,38.757,-106.995
-0.176,-0.441,-0.039,114.502,43.701,-114.441
-0.231,-0.218,0.028,113.464,47.180,-121.582
-0.303,0.014,0.084,109.436,50.659,-126.038
-0.380,0.230,0.145,102.844,54.504,-127.502
-0.418,0.402,0.206,94.788,57.617,-123.291
-0.437,0.532,0.269,89.111,58.350,-111.633
-0.483,0.605,0.307,87.830,56.763,-93.994
-0.541,0.609,0.296,90.027,54.016,-72.449
-0.586,0.609,0.253,94.971,50.598,-53.650
-0.634,0.659,0.231,99.548,46.021,-41.931
-0.707,0.764,0.216,99.548,42.114,-35.156
-0.818,0.908,0.218,92.224,40.039,-33.630
-0.888,1.011,0.221,77.087,39.612,-34.424
-0.917,1.054,0.259,56.213,40.344,-31.982
-0.953,1.013,0.306,33.325,44.373,-26.611
-0.966,0.899,0.337,13.062,50.171,-19.043
-1.005,0.803,0.365,-2.502,55.420,-11.597
-1.079,0.708,0.353,-10.559,61.523,-7.446
-1.094,0.640,0.312,-9.644,67.871,-5.188
-1.090,0.632,0.264,-5.249,70.679,-3.174
-1.110,0.655,0.244,-0.916,70.679,-2.014
-1.136,0.716,0.240,0.427,71.045,-0.671
-1.120,0.772,0.229,-3.723,73.181,2.319
-1.077,0.815,0.231,-12.207,75.378,8.179
-1.052,0.819,0.273,-22.888,77.393,17.029
-1.072,0.770,0.299,-35.522,81.909,27.771
-1.103,0.666,0.301,-48.096,85.938,37.292
-1.185,0.549,0.309,-59.021,85.693,43.579
-1.201,0.450,0.325,-66.895,89.417,45.532
-1.243,0.408,0.343,-71.655,90.271,45.776
-1.297,0.378,0.399,-75.134,84.045,46.631
-1.318,0.358,0.439,-77.148,75.134,49.194
-1.344,0.325,0.451,-78.796,65.796,54.138
-1.362,0.242,0.422,-80.017,56.213,62.683
-1.366,0.120,0.400,-82.397,46.631,71.350
-1.377,0.000,0.399,-86.609,39.001,77.148
-1.389,-0.108,0.398,-90.820,34.302,79.773
-1.384,-0.208,0.407,-94.788,30.823,80.017
-1.361,-0.289,0.428,-97.473,27.588,78.003
-1.361,-0.339,0.465,-97.717,23.499,73.303
-1.376,-0.374,0.488,-95.459,18.982,69.336
-1.352,-0.422,0.501,-91.431,13.794,69.397
-1.291,-0.503,0.522,-83.923,6.348,72.998
-1.269,-0.583,0.542,-74.219,-0.916,74.951
-1.234,-0.656,0.548,-64.148,-5.432,76.477
-1.208,-0.716,0.546,-55.237,-9.094,76.050
-1.173,-0.736,0.541,-49.316,-13.184,72.754
-1.120,-0.721,0.537,-46.875,-17.456,67.261
-1.066,-0.688,0.519,-46.631,-21.423,60.364
-1.024,-0.638,0.500,-47.302,-24.902,53.711
-0.984,-0.615,0.480,-48.584,-27.710,48.767
-0.947,-0.626,0.456,-49.561,-29.541,46.936
-0.931,-0.679,0.430,-50.110,-30.212,47.729
-0.900,-0.757,0.399,-49.438,-30.334,49.316
-0.869,-0.827,0.370,-47.058,-30.762,49.377
-0.847,-0.886,0.341,-43.335,-31.738,47.852
-0.809,-0.922,0.317,-38.696,-31.128,44.800
-0.786,-0.941,0.297,-34.119,-31.067,40.833
-0.767,-0.943,0.276,-29.297,-30.212,36.865
-0.758,-0.922,0.239,-23.621,-27.649,33.325
-0.758,-0.895,0.202,-16.968,-25.513,30.518
-0.753,-0.867,0.177,-10.010,-24.414,28.687
-0.750,-0.849,0.166,-3.601,-23.621,27.588
-0.754,-0.835,0.164,1.343,-23.010,26.428
-0.758,-0.819,0.157,4.456,-22.095,24.292
-0.705,-0.818,0.164,6.042,-19.836,21.240
-0.785,-0.789,0.157,6.470,-17.395,14.099
-0.713,-0.772,0.139,7.141,-12.756,12.451
-0.750,-0.719,0.131,9.583,-10.498,9.216
-0.761,-0.674,0.142,11.719,-12.329,5.981

-1.385,1.693,0.462,-57.312,160.950,-44.189
-1.575,1.784,0.680,-67.444,166.138,-29.236
-1.731,1.742,0.853,-63.660,161.865,-1.343
-1.862,1.568,1.010,-52.979,147.522,35.339
-1.886,1.333,1.124,-43.579,133.911,71.167
-1.949,1.085,1.226,-42.053,115.234,97.534
-2.004,0.793,1.299,-50.598,94.727,113.342
-2.048,0.488,1.333,-67.322,73.547,120.850
-2.030,0.192,1.323,-85.876,52.124,121.826
-1.990,-0.056,1.274,-98.022,29.907,117.310
-1.953,-0.270,1.209,-104.553,5.432,110.413
-1.897,-0.473,1.104,-109.497,-17.761,105.713
-1.778,-0.682,0.977,-112.732,-38.940,102.783
-1.644,-0.871,0.851,-112.610,-60.242,99.243
-1.491,-1.036,0.727,-108.459,-77.576,95.032
-1.348,-1.202,0.570,-102.051,-88.684,90.576
-1.195,-1.360,0.413,-93.750,-93.323,85.205
-1.034,-1.519,0.260,-84.351,-93.506,79.773
-0.885,-1.649,0.079,-75.623,-89.478,74.219
-0.770,-1.735,-0.072,-67.078,-82.031,65.063
-0.700,-1.810,-0.200,-58.899,-72.205,54.749
-0.639,-1.892,-0.290,-50.842,-61.890,46.082
-0.599,-1.979,-0.340,-42.480,-53.589,38.208
-0.571,-2.072,-0.363,-33.875,-46.997,30.029
-0.516,-2.180,-0.391,-24.780,-41.687,20.508
-0.426,-2.242,-0.422,-14.404,-38.269,8.423
-0.337,-2.248,-0.444,-3.540,-36.072,-6.836
-0.265,-2.170,-0.472,9.399,-34.668,-24.658
-0.190,-2.039,-0.508,25.818,-34.668,-41.260
-0.105,-1.899,-0.559,46.204,-34.729,-52.917
-0.028,-1.744,-0.629,67.566,-33.630,-59.692
0.032,-1.590,-0.689,85.571,-29.907,-63.232
0.084,-1.470,-0.718,99.976,-21.362,-63.721
0.135,-1.366,-0.711,110.046,-7.080,-61.584
0.121,-1.278,-0.680,113.708,9.277,-61.829
0.099,-1.222,-0.594,114.319,26.489,-66.162
0.052,-1.140,-0.476,115.234,44.067,-73.914
-0.003,-1.017,-0.359,117.798,60.547,-84.534
-0.062,-0.859,-0.240,120.728,74.219,-95.825
-0.112,-0.683,-0.076,123.474,84.839,-105.164
-0.155,-0.483,0.110,125.977,93.506,-112.122
-0.201,-0.243,0.271,129.578,100.342,-117.126
-0.242,0.032,0.389,131.226,103.271,-119.934
-0.319,0.340,0.448,127.686,101.440,-121.277
-0.454,0.669,0.507,116.394,97.290,-121.460
-0.551,0.946,0.558,99.243,96.313,-118.408
-0.578,1.151,0.578,82.031,98.694,-108.337
-0.629,1.259,0.629,69.092,96.985,-91.248
-0.699,1.260,0.689,60.852,93.262,-68.787
-0.766,1.197,0.688,54.199,88.562,-44.922
-0.848,1.126,0.623,48.523,80.933,-25.879
-0.933,1.095,0.551,43.518,70.740,-13.794
-1.007,1.135,0.475,37.415,62.134,-6.592
-1.090,1.198,0.399,29.785,58.472,-1.892
-1.146,1.238,0.362,19.165,60.669,3.113
-1.151,1.234,0.364,5.310,68.298,9.521
-1.132,1.202,0.392,-10.864,79.224,16.968
-1.141,1.175,0.427,-28.625,89.783,24.109
-1.174,1.132,0.497,-45.715,96.863,29.907
-1.246,1.086,0.547,-60.486,101.135,36.255
-1.375,1.043,0.599,-71.533,101.074,43.274
-1.442,0.973,0.593,-76.660,97.961,52.856
-1.491,0.841,0.564,-77.881,85.327,69.092
-1.498,0.639,0.535,-78.064,68.481,88.257
-1.505,0.419,0.510,-78.857,52.856,102.844
-1.442,0.180,0.468,-80.017,40.283,114.868
-1.418,-0.047,0.441,-82.153,28.748,119.751
-1.399,-0.241,0.417,-85.449,18.982,120.483
-1.369,-0.418,0.404,-87.830,10.071,118.530
-1.337,-0.562,0.412,-90.576,3.113,112.427
-1.392,-0.609,0.428,-94.849,0.000,101.868
-1.277,-0.670,0.470,-97.046,0.244,99.243
-1.273,-0.760,0.495,-94.238,0.366,95.276
-1.254,-0.805,0.544,-89.722,-0.671,88.257
-1.246,-0.894,0.565,-82.520,-3.967,85.022
-1.213,-0.991,0.571,-73.425,-7.629,81.238
-1.153,-1.061,0.553,-63.965,-10.010,76.050
-1.095,-1.128,0.539,-55.969,-14.404,68.542
-1.093,-1.151,0.525,-50.171,-18.494,57.983
-0.936,-1.194,0.491,-47.241,-20.630,45.593
-0.975,-1.137,0.495,-48.096,-27.527,26.855
-0.864,-1.053,0.379,-47.363,-26.184,20.142
-0.837,-0.976,0.333,-46.082,-35.400,12.817
-0.792,-0.916,0.298,-44.250,-44.556,7.690
-0.758,-0.859,0.254,-40.466,-49.744,4.883
-0.744,-0.809,0.209,-36.194,-49.927,2.625
-0.722,-0.760,0.156,-30.762,-46.082,1.160
-0.724,-0.726,0.118,-25.635,-42.114,0.427
-0.733,-0.720,0.092,-21.118,-36.499,0.977
-0.729,-0.745,0.070,-16.296,-29.419,3.113
-0.738,-0.782,0.060,-10.681,-23.193,5.432
-0.745,-0.810,0.066,-4.089,-19.104,6.592
-0.762,-0.807,0.078,2.930,-16.357,5.554
-0.791,-0.773,0.081,8.484,-14.038,2.197
-0.806,-0.720,0.086,12.329,-12.756,-2.075
-0.798,-0.661,0.083,14.526,-11.230,-6.042
-0.802,-0.592,0.073,16.052,-8.972,-9.827
-0.815,-0.521,0.064,17.700,-7.446,-12.512
-0.825,-0.455,0.052,19.287,-7.141,-13.245
-0.832,-0.391,0.039,20.264,-6.165,-12.268
-0.844,-0.329,0.031,19.592,-4.150,-10.498
-0.852,-0.290,0.024,18.005,-0.610,-7.812
-0.854,-0.266,0.031,15.564,4.883,-4.700
-0.863,-0.258,0.055,12.939,11.536,-1.831
-0.870,-0.271,0.085,10.132,18.433,0.916
-0.876,-0.287,0.121,7.874,24.170,2.747
-0.896,-0.291,0.161,7.202,28.564,3.479
-0.921,-0.289,0.200,7.263,31.006,3.723
-0.939,-0.286,0.237,7.568,31.128,4.272
-0.954,-0.283,0.267,7.568,29.724,4.578
-0.967,-0.287,0.296,7.202,27.466,5.066
-0.979,-0.289,0.327,6.592,25.146,5.859
-0.988,-0.295,0.352,6.531,22.522,6.653
-0.997,-0.303,0.368,7.446,18.982,7.446
-1.000,-0.314,0.376,8.850,14.893,8.545
-1.002,-0.329,0.373,10.193,10.620,9.338
-1.003,-0.352,0.370,11.353,6.042,9.827
-1.011,-0.383,0.346,12.634,2.258,8.301
-0.990,-0.389,0.317,12.817,-1.038,7.385

-1.244,1.396,0.428,-38.208,162.170,0.427
-1.344,1.340,0.645,-57.312,166.931,15.076
-1.511,1.210,0.858,-69.031,165.588,34.363
-1.649,1.046,1.042,-71.899,165.771,56.030
-1.770,0.821,1.214,-68.665,156.311,77.393
-1.864,0.643,1.324,-61.401,135.742,93.384
-1.895,0.496,1.361,-54.993,106.750,102.478
-1.889,0.405,1.314,-53.894,73.425,105.225
-1.876,0.304,1.252,-61.646,41.687,104.980
-1.826,0.155,1.183,-74.951,17.151,106.812
-1.763,-0.069,1.122,-89.111,-0.732,113.098
-1.683,-0.358,1.055,-101.318,-12.573,120.239
-1.593,-0.648,0.970,-109.863,-24.048,123.169
-1.494,-0.898,0.859,-114.746,-35.889,118.347
-1.359,-1.070,0.713,-118.103,-46.997,107.849
-1.224,-1.186,0.551,-119.934,-55.725,94.055
-1.073,-1.270,0.419,-119.751,-62.256,82.825
-0.944,-1.383,0.272,-114.258,-66.040,76.538
-0.818,-1.505,0.097,-103.577,-67.871,72.571
-0.739,-1.678,-0.096,-90.088,-72.327,73.059
-0.659,-1.927,-0.265,-75.012,-76.904,77.698
-0.578,-2.208,-0.410,-58.289,-77.698,82.336
-0.519,-2.473,-0.527,-40.710,-74.402,79.895
-0.482,-2.658,-0.620,-24.719,-67.078,67.688
-0.437,-2.735,-0.716,-11.414,-56.152,47.180
-0.386,-2.724,-0.798,-0.549,-48.157,20.752
-0.350,-2.633,-0.809,7.812,-41.626,-6.897
-0.285,-2.517,-0.814,17.700,-27.771,-33.325
-0.216,-2.376,-0.812,31.494,-11.658,-56.213
-0.166,-2.215,-0.797,45.532,-0.305,-75.500
-0.107,-2.043,-0.743,57.800,6.592,-91.125
-0.050,-1.862,-0.668,69.641,12.146,-102.478
-0.008,-1.691,-0.582,83.313,18.738,-110.168
0.026,-1.518,-0.482,97.351,27.527,-115.295
0.041,-1.324,-0.364,111.511,37.354,-118.347
0.044,-1.131,-0.240,122.192,47.363,-119.446
0.029,-0.959,-0.132,126.709,57.312,-121.216
0.005,-0.758,-0.028,124.207,68.054,-126.221
-0.041,-0.525,0.069,115.662,77.881,-134.155
-0.075,-0.242,0.164,103.210,87.036,-143.921
-0.143,0.085,0.260,88.623,94.116,-154.419
-0.213,0.417,0.358,73.730,99.487,-160.522
-0.269,0.718,0.453,61.707,104.004,-157.532
-0.322,0.959,0.512,56.152,107.422,-144.287
-0.402,1.093,0.524,60.486,101.074,-119.873
-0.447,1.128,0.501,71.533,90.210,-85.938
-0.520,1.091,0.438,82.825,77.332,-51.636
-0.578,1.021,0.380,86.853,68.176,-25.024
-0.647,0.953,0.310,81.360,64.758,-7.568
-0.738,0.909,0.264,69.519,65.430,0.244
-0.865,0.906,0.291,53.284,69.702,1.831
-0.950,0.919,0.357,34.424,76.660,0.061
-0.998,0.946,0.456,15.625,82.947,-1.282
-1.061,0.980,0.559,-0.916,86.670,-1.465
-1.114,1.010,0.643,-15.564,89.722,-1.038
-1.180,1.020,0.664,-29.907,92.224,0.671
-1.244,1.028,0.667,-43.579,90.515,4.700
-1.304,1.008,0.665,-54.504,83.740,10.986
-1.341,0.990,0.641,-60.791,77.698,21.301
-1.376,0.926,0.627,-64.880,69.092,37.109
-1.382,0.808,0.611,-69.702,59.753,54.443
-1.374,0.642,0.576,-76.233,50.293,69.763
-1.321,0.412,0.542,-83.923,43.030,81.421
-1.295,0.198,0.524,-91.736,39.185,86.670
-1.280,0.009,0.513,-97.351,36.804,90.454
-1.285,-0.154,0.505,-100.159,34.119,90.210
-1.285,-0.270,0.507,-102.295,29.175,88.745
-1.276,-0.361,0.523,-103.882,21.362,87.036
-1.266,-0.434,0.535,-102.173,13.000,84.900
-1.255,-0.515,0.532,-96.741,4.700,84.045
-1.254,-0.597,0.529,-89.478,-3.296,83.984
-1.229,-0.653,0.518,-81.787,-9.033,86.487
-1.214,-0.770,0.486,-72.876,-15.259,92.163
-1.198,-0.874,0.475,-65.857,-19.653,91.309
-1.127,-0.977,0.447,-59.204,-21.301,89.233
-1.064,-1.034,0.424,-53.162,-20.630,82.031
-1.019,-1.071,0.406,-48.706,-20.264,70.984
-0.981,-1.085,0.388,-46.082,-19.775,57.495
-0.882,-1.066,0.382,-45.471,-17.212,44.861
-1.010,-0.998,0.344,-47.058,-11.292,24.536
-0.891,-0.944,0.245,-49.133,-1.953,19.836
-0.902,-0.914,0.227,-47.668,-7.385,19.653
-0.896,-0.917,0.240,-45.715,-17.334,17.883
-0.916,-0.902,0.259,-40.771,-25.635,17.883
-0.914,-0.907,0.265,-32.410,-28.503,19.104
-0.880,-0.909,0.250,-23.254,-27.771,18.921
-0.899,-0.893,0.236,-14.587,-30.457,16.357
-0.876,-0.876,0.208,-6.348,-28.259,12.268
-0.854,-0.830,0.169,1.709,-23.682,8.423
-0.837,-0.765,0.140,8.362,-21.179,4.883
-0.825,-0.691,0.127,12.512,-20.691,1.465
-0.824,-0.615,0.125,13.916,-20.508,-1.282
-0.824,-0.544,0.131,13.306,-19.653,-3.113
-0.825,-0.487,0.133,12.024,-17.700,-3.906
-0.835,-0.439,0.129,10.193,-13.855,-3.662
-0.849,-0.409,0.127,8.728,-9.338,-2.502
-0.853,-0.390,0.129,7.324,-4.700,-0.671
-0.859,-0.382,0.134,6.104,-0.610,0.977
-0.861,-0.376,0.150,5.188,3.113,1.648
-0.872,-0.358,0.175,4.395,6.042,0.916
-0.862,-0.357,0.193,4.456,8.606,0.183
-0.877,-0.334,0.202,3.967,11.475,-1.221
-0.877,-0.325,0.210,3.906,11.047,-0.366
-0.888,-0.318,0.220,3.113,9.216,-0.366
-0.896,-0.318,0.222,2.075,8.423,0.488
-0.902,-0.323,0.219,1.160,7.935,1.526
-0.906,-0.332,0.217,-0.061,7.874,2.014
-0.912,-0.337,0.219,-1.526,7.629,2.014
-0.918,-0.340,0.224,-2.869,7.324,1.587
-0.919,-0.348,0.230,-3.784,7.141,2.014
-0.921,-0.366,0.236,-3.479,6.653,2.808
-0.925,-0.378,0.244,-1.038,6.287,3.967
-0.931,-0.392,0.248,2.930,5.676,6.042
-0.941,-0.411,0.254,6.409,5.554,8.118
-0.944,-0.433,0.259,8.728,4.944,9.094
-0.945,-0.455,0.263,9.521,4.272,8.850
-0.951,-0.474,0.269,9.277,4.150,7.019
-0.964,-0.471,0.270,7.874,4.517,3.845
-0.974,-0.461,0.275,5.432,4.822,0.122

-1.302,1.452,0.264,-37.476,156.982,-60.791
-1.388,1.486,0.435,-51.025,157.471,-47.180
-1.482,1.486,0.598,-58.899,153.320,-28.320
-1.585,1.440,0.754,-61.035,145.569,-6.409
-1.658,1.306,0.856,-59.265,134.949,19.104
-1.725,1.131,0.872,-54.871,118.713,47.119
-1.757,0.934,0.902,-51.331,101.501,70.435
-1.789,0.742,0.889,-52.185,88.257,86.060
-1.786,0.545,0.856,-59.753,72.205,95.581
-1.779,0.357,0.834,-70.923,57.312,98.999
-1.766,0.181,0.815,-84.045,44.556,99.182
-1.736,0.040,0.801,-96.741,32.898,97.839
-1.727,-0.084,0.797,-107.056,19.165,96.252
-1.680,-0.234,0.775,-112.610,3.418,98.267
-1.609,-0.390,0.742,-112.244,-12.756,104.126
-1.570,-0.580,0.706,-107.849,-29.785,111.816
-1.476,-0.825,0.638,-101.563,-44.128,121.460
-1.359,-1.108,0.571,-94.543,-56.030,130.310
-1.220,-1.474,0.501,-87.952,-65.979,134.399
-1.038,-1.812,0.402,-79.834,-70.984,131.409
-0.863,-2.026,0.281,-70.740,-74.646,118.896
-0.710,-2.079,0.109,-65.186,-78.491,95.093
-0.612,-2.038,-0.082,-65.491,-82.947,63.171
-0.550,-1.959,-0.241,-70.313,-82.947,32.410
-0.555,-1.938,-0.394,-75.623,-79.163,13.428
-0.517,-2.057,-0.536,-72.510,-73.303,8.972
-0.448,-2.239,-0.626,-57.861,-66.589,10.803
-0.388,-2.426,-0.700,-35.645,-59.570,11.292
-0.299,-2.525,-0.775,-11.230,-51.941,6.836
-0.197,-2.552,-0.837,11.475,-44.922,-4.272
-0.059,-2.480,-0.884,30.151,-35.828,-21.851
0.044,-2.326,-0.880,43.945,-27.466,-43.091
0.136,-2.128,-0.843,54.810,-15.015,-64.331
0.182,-1.919,-0.793,64.026,-0.549,-82.092
0.205,-1.720,-0.758,71.777,14.038,-93.323
0.225,-1.557,-0.706,77.515,27.222,-98.694
