aX,aY,aZ,gX,gY,gZ
-1.523,0.230,0.538,-107.727,64.697,71.594
-1.503,-0.057,0.587,-119.690,57.861,79.956
-1.469,-0.327,0.617,-126.282,49.866,81.665
-1.437,-0.595,0.592,-125.732,39.856,80.750
-1.373,-0.788,0.549,-123.474,26.855,74.097
-1.320,-0.877,0.482,-122.009,10.559,64.392
-1.269,-0.886,0.407,-121.155,-7.324,52.124
-1.200,-0.811,0.335,-120.667,-23.804,40.222
-1.164,-0.695,0.245,-120.300,-34.912,35.767
-1.132,-0.734,0.172,-117.737,-40.649,45.410
-1.104,-0.876,0.131,-111.572,-42.480,56.580
-1.078,-1.031,0.118,-104.248,-39.978,65.796
-1.040,-1.237,0.068,-96.375,-37.842,71.960
-0.988,-1.421,0.027,-87.769,-40.710,72.449
-0.924,-1.541,-0.022,-79.041,-42.236,66.284
-0.863,-1.603,-0.069,-70.862,-41.016,55.115
-0.826,-1.609,-0.123,-63.538,-36.499,41.443
-0.819,-1.562,-0.184,-57.922,-31.616,27.161
-0.829,-1.535,-0.227,-55.298,-27.405,16.663
-0.819,-1.574,-0.255,-53.162,-23.865,12.817
-0.796,-1.656,-0.273,-47.119,-20.874,14.954
-0.768,-1.768,-0.271,-36.926,-18.311,17.883
-0.729,-1.906,-0.254,-23.865,-16.602,19.653
-0.710,-2.049,-0.232,-8.362,-15.808,18.555
-0.636,-2.130,-0.241,8.545,-15.869,13.977
-0.585,-2.172,-0.238,24.963,-16.663,4.211
-0.548,-2.150,-0.226,40.283,-17.700,-8.911
-0.516,-2.057,-0.216,55.420,-17.456,-22.766
-0.484,-1.944,-0.214,69.763,-16.663,-35.095
-0.429,-1.828,-0.200,81.360,-16.113,-44.800
-0.387,-1.720,-0.180,88.013,-14.465,-54.260
-0.344,-1.624,-0.164,91.064,-10.498,-64.636
-0.288,-1.527,-0.144,92.224,-5.493,-75.012
-0.243,-1.437,-0.102,93.018,-0.916,-84.656
-0.228,-1.329,-0.052,95.398,3.113,-94.421
-0.225,-1.201,-0.005,99.731,6.714,-103.577
-0.222,-1.067,0.044,106.140,8.606,-111.389
-0.231,-0.907,0.072,114.563,8.972,-117.432
-0.253,-0.731,0.073,123.596,7.751,-121.155
-0.274,-0.580,0.060,130.310,5.798,-121.399
-0.260,-0.466,0.045,133.972,7.141,-118.774
-0.260,-0.362,0.021,134.399,10.803,-115.173
-0.222,-0.260,-0.003,132.751,17.029,-111.328
-0.185,-0.110,-0.030,131.226,24.780,-109.497
-0.236,0.101,-0.044,127.441,34.546,-112.793
-0.284,0.349,-0.045,118.713,47.424,-118.347
-0.342,0.620,-0.044,105.225,60.120,-122.620
-0.421,0.839,-0.045,90.698,69.763,-122.620
-0.490,0.983,-0.013,76.233,76.782,-115.784
-0.522,1.038,0.061,63.416,83.130,-101.746
-0.550,1.006,0.142,55.969,88.928,-82.336
-0.596,0.885,0.210,54.077,92.041,-58.777
-0.666,0.747,0.220,56.885,92.407,-37.476
-0.714,0.637,0.202,63.293,89.722,-23.926
-0.738,0.595,0.181,69.580,83.862,-17.578
-0.808,0.666,0.157,71.899,78.491,-19.165
-0.895,0.797,0.154,66.528,76.416,-25.879
-0.966,0.946,0.162,51.392,77.209,-31.067
-1.005,1.032,0.166,28.870,79.224,-33.875
-0.989,1.068,0.175,4.578,81.970,-34.668
-0.948,1.081,0.196,-14.893,85.754,-32.959
-0.940,1.109,0.213,-27.710,90.881,-29.846
