aX,aY,aZ,gX,gY,gZ
-1.170,1.320,0.284,-63.477,105.713,-61.584
-1.290,1.382,0.478,-75.928,109.009,-46.143
-1.390,1.405,0.575,-88.623,114.868,-30.579
-1.466,1.393,0.638,-101.257,118.042,-12.390
-1.518,1.328,0.694,-109.558,114.624,8.057
-1.579,1.202,0.754,-109.680,108.948,32.959
-1.567,0.980,0.929,-105.530,106.567,61.707
-1.521,0.727,1.026,-95.947,100.098,88.196
-1.417,0.514,1.093,-86.975,97.961,108.643
-1.357,0.311,1.185,-80.322,90.454,121.643
-1.298,0.144,1.238,-77.942,82.703,127.258
-1.259,0.065,1.256,-79.590,71.960,126.709
-1.266,0.052,1.255,-84.106,58.411,122.925
-1.258,0.052,1.246,-93.201,43.945,121.094
-1.272,0.052,1.277,-107.422,29.419,121.338
-1.244,0.008,1.283,-117.920,19.775,130.310
-1.217,-0.125,1.309,-121.643,11.230,143.066
-1.131,-0.353,1.340,-119.324,5.798,158.569
-0.990,-0.580,1.344,-112.549,3.174,171.875
-0.818,-0.747,1.328,-103.760,-3.113,179.810
-0.685,-0.886,1.259,-94.604,-15.747,180.664
-0.579,-0.977,1.159,-87.891,-33.630,177.124
-0.435,-1.073,1.027,-84.290,-50.537,171.814
-0.266,-1.143,0.911,-83.496,-62.134,163.696
-0.202,-1.144,0.769,-83.618,-68.665,151.184
-0.219,-1.146,0.620,-85.022,-72.266,138.733
-0.264,-1.203,0.536,-90.820,-73.059,133.057
-0.259,-1.338,0.521,-97.717,-68.542,135.315
-0.211,-1.534,0.543,-99.548,-60.120,140.076
-0.119,-1.765,0.601,-92.285,-50.476,144.104
0.002,-1.990,0.664,-75.378,-40.771,143.921
0.134,-2.152,0.685,-51.086,-32.715,137.756
0.251,-2.289,0.589,-22.766,-27.954,126.038
0.351,-2.382,0.434,5.554,-27.588,108.337
0.415,-2.433,0.301,29.724,-32.715,87.280
0.427,-2.469,0.174,44.983,-33.691,64.758
0.424,-2.492,0.074,50.720,-27.649,43.518
0.436,-2.513,0.018,51.086,-17.761,24.231
0.476,-2.501,-0.016,50.171,-5.371,3.723
0.500,-2.437,-0.035,49.805,5.554,-17.944
0.501,-2.314,-0.039,49.438,16.479,-40.466
0.472,-2.176,-0.040,49.316,26.306,-61.890
0.447,-2.038,-0.044,48.584,34.790,-81.482
0.398,-1.880,-0.030,47.302,42.297,-98.999
0.313,-1.702,0.001,48.096,51.208,-115.051
0.230,-1.518,0.042,50.537,62.866,-129.700
0.142,-1.333,0.091,53.223,74.585,-143.005
0.057,-1.133,0.177,55.664,85.144,-154.602
-0.023,-0.922,0.299,58.228,96.008,-164.246
-0.104,-0.695,0.456,61.584,108.215,-171.204
-0.167,-0.479,0.619,65.186,119.202,-175.049
-0.273,-0.276,0.786,67.322,127.197,-176.941
-0.397,-0.086,0.970,66.528,130.127,-173.950
-0.505,0.039,1.131,62.256,126.953,-166.809
-0.655,0.152,1.224,55.725,116.516,-156.555
-0.819,0.216,1.297,50.232,104.492,-143.860
-0.906,0.223,1.323,47.180,94.910,-129.028
-0.933,0.228,1.322,47.241,79.041,-113.647
-0.956,0.214,1.295,50.720,63.660,-99.182
-0.965,0.162,1.253,55.908,49.866,-86.792
-0.937,0.110,1.187,59.509,37.720,-75.500
-0.923,0.072,1.090,59.387,25.757,-67.139
-0.937,0.040,0.978,57.068,12.756,-61.829
-0.965,0.019,0.835,52.612,-0.366,-57.739
-1.029,0.028,0.688,44.861,-12.512,-54.993
-1.084,0.021,0.531,35.828,-24.048,-53.223
-1.100,0.025,0.429,26.001,-32.410,-49.988
-1.098,0.016,0.352,16.296,-32.043,-46.448
-1.075,-0.003,0.316,7.874,-24.902,-42.725
-1.020,-0.021,0.328,1.099,-13.733,-41.077
-0.996,-0.040,0.359,-3.784,-3.113,-40.344
-0.970,-0.052,0.392,-7.324,4.333,-38.147
-0.944,-0.056,0.416,-9.644,6.775,-34.668
-0.927,-0.078,0.433,-10.254,4.456,-31.128
-0.915,-0.118,0.442,-8.911,-0.854,-27.832
-0.905,-0.129,0.419,-7.568,-7.446,-25.085
-0.909,-0.120,0.379,-6.653,-14.282,-22.400
-0.918,-0.127,0.340,-6.226,-19.409,-18.677
-0.906,-0.153,0.318,-6.714,-21.545,-13.489
-0.898,-0.191,0.311,-7.263,-20.691,-8.789
-0.879,-0.233,0.313,-5.981,-17.700,-5.005
-0.855,-0.271,0.328,-3.296,-13.000,-2.686
-0.847,-0.303,0.334,-0.305,-7.507,-1.770
-0.835,-0.328,0.333,2.136,-2.197,-1.709
-0.825,-0.359,0.343,3.052,2.380,-1.892
-0.823,-0.373,0.359,2.258,5.615,-2.808
-0.824,-0.369,0.365,0.305,6.958,-4.150
-0.823,-0.364,0.374,-1.465,6.348,-5.859
-0.822,-0.361,0.386,-2.930,4.211,-6.592
-0.823,-0.356,0.396,-3.906,2.319,-6.714
-0.814,-0.354,0.403,-4.883,0.244,-6.348
-0.830,-0.361,0.430,-6.042,-2.014,-5.310
-0.823,-0.374,0.438,-5.920,-3.174,-3.418
-0.817,-0.384,0.446,-4.883,-4.456,-1.892
-0.817,-0.391,0.446,-3.479,-5.127,-0.793
-0.819,-0.396,0.439,-1.953,-5.127,-0.183
-0.824,-0.393,0.427,-0.610,-5.432,0.244
-0.827,-0.392,0.409,-0.305,-5.554,0.610
-0.835,-0.397,0.391,-0.732,-5.493,0.916
-0.834,-0.412,0.377,-1.770,-5.249,1.221
-0.829,-0.422,0.369,-2.991,-4.456,1.221
-0.829,-0.429,0.367,-4.211,-3.357,1.160
-0.829,-0.438,0.373,-3.967,-1.953,1.282
-0.833,-0.446,0.375,-2.930,-0.793,1.587
-0.830,-0.450,0.375,-1.343,0.122,2.380
-0.828,-0.460,0.384,0.244,0.793,3.296
-0.821,-0.473,0.385,1.831,0.916,4.578
