aX,aY,aZ,gX,gY,gZ
-0.870,-0.438,0.403,-7.324,-18.311,1.221
-0.855,-0.455,0.380,-5.188,-18.982,4.333
-0.844,-0.474,0.365,-3.296,-19.104,5.554
-0.840,-0.480,0.353,-1.343,-18.860,5.005

-1.210,-0.779,0.599,-78.735,63.843,144.104
-1.152,-0.954,0.556,-90.942,43.701,134.644
-1.107,-1.143,0.559,-101.379,34.363,125.366
-1.103,-1.324,0.553,-108.948,29.480,113.953
-1.087,-1.507,0.531,-114.197,25.024,99.121
-1.031,-1.659,0.490,-117.981,20.325,80.994
-0.991,-1.765,0.433,-120.850,16.785,58.594
-0.959,-1.814,0.361,-121.765,15.076,33.813
-0.936,-1.835,0.297,-120.789,16.052,8.484
-0.912,-1.812,0.217,-116.577,20.264,-14.648
-0.886,-1.784,0.139,-109.985,24.292,-32.288
-0.849,-1.797,0.029,-100.159,26.672,-43.030
-0.764,-1.839,-0.096,-85.144,27.222,-46.143
-0.638,-1.897,-0.199,-64.819,25.391,-42.419
-0.552,-1.976,-0.289,-41.077,25.146,-37.048
-0.435,-2.068,-0.366,-14.648,29.114,-32.532
-0.339,-2.128,-0.404,11.597,35.461,-32.837
-0.267,-2.133,-0.409,34.912,44.556,-38.513
-0.192,-2.084,-0.407,54.382,59.143,-48.706
-0.115,-1.977,-0.385,66.711,75.256,-63.416
-0.039,-1.834,-0.336,72.571,91.736,-81.726
-0.015,-1.661,-0.262,72.937,107.239,-102.722
-0.019,-1.484,-0.174,69.763,122.009,-123.596
-0.038,-1.329,-0.076,68.542,134.583,-140.747
-0.082,-1.193,0.034,75.134,143.982,-150.024
-0.157,-1.045,0.182,91.125,151.001,-149.719
-0.253,-0.904,0.356,115.479,156.799,-142.334
-0.360,-0.747,0.512,144.104,160.522,-129.517
-0.453,-0.559,0.712,172.058,161.133,-115.417
-0.548,-0.295,0.978,192.688,160.156,-104.370
-0.673,-0.018,1.271,201.416,159.790,-97.717
-0.830,0.234,1.579,197.021,159.729,-92.590
-1.005,0.439,1.897,180.115,158.630,-87.158
-1.176,0.568,2.131,155.396,154.297,-80.811
-1.371,0.612,2.280,128.357,143.555,-75.745
-1.557,0.667,2.396,99.304,127.441,-73.853
-1.726,0.736,2.455,73.181,111.145,-74.280
-1.885,0.812,2.496,52.917,90.637,-75.012
-1.995,0.856,2.505,37.231,63.843,-71.594
-2.035,0.865,2.482,24.353,34.058,-61.707
-2.069,0.821,2.401,13.916,3.296,-47.607
-2.028,0.754,2.247,5.493,-25.513,-33.569
-1.919,0.522,2.115,-1.587,-52.979,-6.714
-2.097,0.469,1.890,-9.155,-74.646,28.503
-2.104,0.383,1.673,-11.597,-85.022,28.137
-2.038,0.260,1.531,-13.855,-99.304,15.076
-1.876,0.139,1.448,-18.616,-118.469,-6.226
-1.716,0.071,1.356,-24.658,-134.521,-20.325
-1.574,0.033,1.238,-31.372,-149.902,-27.954
-1.435,0.022,1.097,-37.415,-166.321,-33.325
-1.258,0.005,0.947,-41.199,-181.274,-37.109
-1.076,-0.002,0.800,-41.687,-195.496,-39.795
-0.927,-0.000,0.661,-38.940,-206.726,-39.734
-0.825,0.007,0.534,-35.217,-213.257,-35.706
-0.717,-0.003,0.396,-32.043,-215.271,-29.297
-0.628,-0.015,0.246,-31.128,-214.233,-22.461
-0.560,-0.023,0.120,-32.715,-209.473,-16.785
-0.505,-0.044,0.007,-34.851,-201.721,-12.207
-0.474,-0.081,-0.096,-38.025,-192.749,-8.545
-0.444,-0.133,-0.188,-41.687,-183.105,-6.042
-0.404,-0.194,-0.282,-44.739,-173.401,-5.066
-0.366,-0.241,-0.387,-46.936,-163.818,-6.348
-0.311,-0.268,-0.476,-46.997,-156.372,-8.972
-0.290,-0.285,-0.531,-42.053,-155.212,-9.033
-0.235,-0.323,-0.614,-26.733,-153.687,-6.714
-0.223,-0.257,-0.682,-2.930,-148.865,-1.953
-0.201,-0.192,-0.712,20.935,-148.987,6.836
-0.169,-0.157,-0.726,39.734,-145.691,15.442
-0.149,-0.108,-0.740,51.697,-136.963,23.132
-0.113,-0.060,-0.741,56.091,-128.967,29.663
-0.049,-0.020,-0.738,53.406,-120.605,33.508
0.045,-0.007,-0.747,46.082,-109.009,32.532
0.128,-0.013,-0.776,34.973,-93.262,26.001
0.207,-0.012,-0.805,19.348,-74.036,15.381
0.288,0.002,-0.841,0.488,-51.941,3.967
0.346,0.033,-0.881,-18.677,-27.344,-6.104
0.393,0.065,-0.912,-36.560,-1.038,-13.733
0.412,0.091,-0.932,-51.331,26.733,-17.029
0.432,0.115,-0.922,-62.622,54.382,-14.954
0.454,0.123,-0.908,-70.374,81.787,-8.606
0.484,0.116,-0.856,-73.975,109.192,1.038
0.501,0.121,-0.774,-74.158,135.803,14.282
0.481,0.131,-0.691,-71.167,160.095,28.564
0.459,0.119,-0.604,-65.125,180.969,42.969
0.448,0.094,-0.517,-56.030,197.266,57.983
0.411,0.058,-0.421,-45.288,208.984,74.585
0.352,-0.012,-0.309,-35.034,216.553,93.140
0.317,-0.117,-0.176,-27.283,221.436,111.145
0.271,-0.222,-0.029,-24.841,226.868,124.634
0.174,-0.325,0.110,-25.696,235.168,131.592
0.053,-0.448,0.297,-29.419,243.103,135.254
-0.095,-0.569,0.502,-33.569,248.596,136.169
-0.269,-0.658,0.679,-34.546,253.540,136.047
-0.455,-0.744,0.868,-30.273,255.493,134.644
-0.644,-0.806,1.000,-23.437,251.282,130.188
-0.766,-0.870,1.055,-16.907,240.967,123.352
-1.033,-0.921,1.203,-11.902,225.830,115.479
-1.185,-1.014,1.312,-5.188,207.703,115.173
-1.313,-1.144,1.421,0.793,191.589,116.760
-1.406,-1.284,1.523,2.136,177.490,112.305
-1.485,-1.336,1.576,-1.282,161.865,98.022
