aX,aY,aZ,gX,gY,gZ
-0.733,-1.643,0.416,-14.099,88.623,86.487
-0.745,-1.689,0.445,-8.850,85.144,77.637
-0.781,-1.695,0.472,-5.981,81.543,62.622
-0.828,-1.690,0.476,-3.845,81.848,47.913
-0.871,-1.700,0.473,-0.793,83.313,34.851
-0.912,-1.710,0.492,2.991,85.022,24.231
-0.955,-1.760,0.507,7.935,87.402,13.489
-1.003,-1.813,0.509,13.611,88.379,2.563
-1.032,-1.824,0.506,19.287,88.989,-8.667
-1.072,-1.810,0.489,25.208,90.332,-21.912
-1.138,-1.762,0.484,31.372,90.149,-36.926
-1.194,-1.684,0.496,37.415,88.379,-52.124
-1.220,-1.600,0.517,44.495,86.609,-65.125
-1.242,-1.542,0.565,53.467,83.984,-74.219
-1.247,-1.509,0.628,63.171,80.933,-81.482
-1.234,-1.481,0.691,70.557,77.576,-88.745
-1.201,-1.410,0.764,73.547,73.853,-97.656
-1.135,-1.345,0.764,72.510,69.031,-108.643
-1.351,-1.155,0.782,67.566,60.730,-125.549
-1.230,-0.984,0.766,65.063,64.697,-132.690
-1.250,-0.827,0.755,62.012,58.777,-140.625
-1.324,-0.684,0.808,56.274,40.222,-147.827
-1.354,-0.576,0.870,53.711,25.757,-149.414
-1.340,-0.490,0.879,56.213,20.081,-145.203
-1.292,-0.409,0.877,61.462,16.785,-136.902
-1.276,-0.330,0.885,65.918,10.376,-128.662
-1.277,-0.258,0.908,68.542,1.221,-121.643
-1.300,-0.177,0.944,69.702,-8.911,-116.577
-1.338,-0.090,0.973,71.289,-20.203,-112.000
-1.354,-0.006,0.988,74.646,-31.128,-105.835
-1.359,0.054,0.986,78.552,-43.091,-97.900
-1.351,0.086,0.961,81.543,-56.702,-89.539
-1.307,0.108,0.913,82.458,-69.153,-80.933
-1.254,0.120,0.842,82.336,-79.163,-73.059
-1.201,0.131,0.756,80.383,-86.914,-67.261
-1.153,0.150,0.645,76.721,-93.262,-64.148
-1.109,0.183,0.531,72.449,-98.633,-62.622
-1.059,0.229,0.424,68.604,-102.051,-61.035
-1.005,0.288,0.349,62.683,-102.112,-59.265
-0.952,0.326,0.288,53.955,-98.572,-57.007
-0.875,0.359,0.250,43.091,-94.421,-54.260
-0.802,0.409,0.235,29.663,-91.492,-51.819
-0.769,0.456,0.229,13.245,-88.684,-50.781
